scenario,policy,seed_index,seed,stations,mcs,payload_bytes,load_skew,offered_mbps,received_packets,decision_count,learned_fallbacks,throughput_mbps,delay_mean_ms,delay_p95_ms,delay_p99_ms,fairness,decision_mean_us,decision_p95_us,decision_p99_us,decision_max_us,decision_deadline_miss_rate,inference_mean_us,inference_p95_us,inference_p99_us,inference_max_us,delivery_ratio
unseen_active_4,max_backlog,0,920000,4,8,1000,0.3,88.8,8684,547,0,69.472,418.545598,1145.55103,1205.853602,0.998871,93.074272,111.195,145.944,170.189,0.0,0.0,0.0,0.0,0.0,0.7823423423423423
unseen_active_4,max_backlog,1,920001,4,8,1000,0.3,88.8,8682,545,0,69.456,419.166555,1145.715623,1206.080746,0.998916,95.465628,106.658,149.054,165.133,0.0,0.0,0.0,0.0,0.0,0.7821621621621622
unseen_active_4,max_backlog,2,920002,4,8,1000,0.3,88.8,8686,543,0,69.488,418.55548,1145.82865,1206.441812,0.998887,92.253901,107.806,123.397,155.865,0.0,0.0,0.0,0.0,0.0,0.7825225225225225
unseen_active_4,max_backlog,3,920003,4,8,1000,0.3,88.8,8692,545,0,69.536,419.089939,1146.929184,1207.809816,0.998903,92.027024,108.664,143.197,163.396,0.0,0.0,0.0,0.0,0.0,0.7830630630630631
unseen_active_4,max_backlog,4,920004,4,8,1000,0.3,88.8,8694,544,0,69.552,419.496983,1145.063088,1205.727877,0.998858,94.866664,109.823,160.512,168.617,0.0,0.0,0.0,0.0,0.0,0.7832432432432433
unseen_active_4,max_backlog,5,920005,4,8,1000,0.3,88.8,8690,549,0,69.52,419.499377,1149.844232,1210.342611,0.998857,97.02182,124.369,143.071,198.488,0.0,0.0,0.0,0.0,0.0,0.7828828828828829
unseen_active_4,max_backlog,6,920006,4,8,1000,0.3,88.8,8684,544,0,69.472,419.638921,1147.003312,1207.146258,0.998871,89.012404,105.464,156.018,164.794,0.0,0.0,0.0,0.0,0.0,0.7823423423423423
unseen_active_4,max_backlog,7,920007,4,8,1000,0.3,88.8,8686,545,0,69.488,418.528405,1145.183203,1206.284402,0.998856,130.659358,147.076,252.533,290.157,0.0,0.0,0.0,0.0,0.0,0.7825225225225225
unseen_active_4,max_backlog,8,920008,4,8,1000,0.3,88.8,8700,555,0,69.6,418.672976,1143.551431,1203.71222,0.998875,90.670681,119.051,160.493,178.327,0.0,0.0,0.0,0.0,0.0,0.7837837837837838
unseen_active_4,max_backlog,9,920009,4,8,1000,0.3,88.8,8688,542,0,69.504,419.293004,1147.513083,1208.078872,0.998872,89.377587,100.828,157.073,170.551,0.0,0.0,0.0,0.0,0.0,0.7827027027027028
